id	keep	Description	Homepage	EDAM_operations	EDAM_topics
ampligone	False	AmpliGone is a tool which accurately finds and removes primer sequences from NGS reads in an amplicon experiment. 	https://rivm-bioinformatics.github.io/AmpliGone/latest/	[]	[]
amrfinderplus	False	"""AMRFinderPlus is designed to find acquired antimicrobial resistance genes and point mutations in protein and/or assembled nucleotide sequences.It can also search ""plus"", stress, heat, and biocide resistance and virulence factors for some organisms."	https://github.com/ncbi/amr	['Antimicrobial resistance prediction']	['Microbiology', 'Public health and epidemiology', 'Infectious disease']
ancombc	False	Performs analysis of compositions of microbiomes with bias correction.	https://github.com/FrederickHuangLin/ANCOMBC	['DNA barcoding']	['Microbial ecology', 'Metagenomics', 'Taxonomy']
artic	False	The artic pipeline is designed to help run the artic bioinformatics protocols;for example the nCoV-2019 novel coronavirus protocol.Features include: read filtering, primer trimming, amplicon coverage normalisation,variant calling and consensus building	https://github.com/artic-network/fieldbioinformatics	['Sequence alignment']	['Genomics']
bakta	False	"""Bakta is a tool for the rapid & standardized annotation of bacterial genomes and plasmids from both isolates and MAGs.It provides dbxref-rich and sORF-including annotations in machine-readable JSON & bioinformatics standard file formats for automatic downstream analysis."""	https://github.com/oschwengers/bakta	['Genome annotation']	['Genomics', 'Sequence analysis', 'Bioinformatics']
bbtools	False	BBTools is a suite of fast, multithreaded bioinformatics tools designed for analysis of DNA and RNA sequence data.BBTools can handle common sequencing file formats such as fastq, fasta, sam, scarf, fasta+qual, compressed or raw,with autodetection of quality encoding and interleaving. It is written in Java and works on any platform supportingJava, including Linux, MacOS, and Microsoft Windows and Linux; there are no dependencies other than Java (version7 or higher). Program descriptions and options are shown when running the shell scripts with no parameters.	https://jgi.doe.gov/data-and-tools/bbtools/	['RNA-Seq analysis', 'Sequence trimming', 'Read mapping', 'Sequence contamination filtering', 'Read binning', 'Sequence alignment']	['Sequencing', 'RNA splicing', 'Whole genome sequencing', 'Phylogenetics', 'Metagenomics', 'RNA-Seq']
binette	False	Binning refinement tool	https://github.com/genotoul-bioinfo/Binette	['Read binning']	['Metagenomics']
binning_refiner	False	Reconciles the outputs of different binning programs with the aim to improve the quality of genome bins,especially with respect to contamination levels.	https://github.com/songweizhi/Binning_refiner	['Read binning', 'Sequence clustering']	['Metagenomics', 'Sequence assembly', 'Microbial ecology']
bmtagger	False	remove contaminant reads	https://ftp.ncbi.nlm.nih.gov/pub/agarwala/bmtagger/	['Data filtering', 'Read pre-processing']	['Metagenomics']
bracken	False	Bayesian Reestimation of Abundance with KrakEN	https://github.com/jenniferlu717/Bracken/releases	['Statistical calculation']	['Metagenomics', 'Microbial ecology']
cami_amber	False	Evaluation package for the comparative assessment of genome reconstructions and taxonomic assignments	https://github.com/CAMI-challenge/AMBER	['Read binning']	['Metagenomics']
checkm	False	Assess the quality of microbial genomes recovered from isolates, single cells, and metagenomes	https://github.com/Ecogenomics/CheckM	['Sequence assembly validation', 'Validation', 'Sequence composition calculation', 'Sequencing quality control', 'Statistical calculation']	['Genomics', 'Phylogenomics', 'Phylogenetics', 'Taxonomy', 'Metagenomics', 'Data quality management']
checkm2	False	Rapid assessment of genome bin quality using machine learning	https://github.com/chklovski/CheckM2	['Sequence assembly validation', 'Validation', 'Sequence composition calculation', 'Sequencing quality control', 'Statistical calculation']	['Genomics', 'Phylogenomics', 'Phylogenetics', 'Taxonomy', 'Metagenomics', 'Data quality management']
checkv	False	Assess quality of single-contig viral genomes	https://bitbucket.org/berkeleylab/checkv/	['Sequence assembly', 'Validation', 'Read mapping']	['Metagenomics', 'Sequence assembly', 'Metagenomic sequencing', 'Mapping']
chromap	False	Fast alignment and preprocessing of chromatin profiles.	https://github.com/haowenz/chromap	[]	[]
colabfold	False	Protein prediction based on AlphaFold2	https://github.com/sokrypton/ColabFold	['Database search', 'Protein structure prediction', 'Fold recognition']	['Protein folds and structural domains', 'Protein folding, stability and design', 'Structure prediction', 'Sequence sites, features and motifs', 'Metagenomics']
combine_metaphlan2_humann2	False	Combine MetaPhlAn2 and HUMAnN2 outputs to relate genus/species abundances and gene families/pathways abundances		['Aggregation']	['Metagenomics', 'Molecular interactions, pathways and networks']
comebin	False	Binning of metagenomic contigs using COntrastive Multi-viEw representation learning	https://github.com/ziyewang/COMEBin	[]	[]
compare_humann2_output	False	Compare outputs of HUMAnN2 for several samples and extract similar and specific information		['Comparison']	['Metagenomics', 'Gene and protein families']
